class	Precursor_MZ
Prenol lipids	448.284
Prenol lipids	310.311
Prenol lipids	359.221
Prenol lipids	400.283
Carboxylic acids and derivatives	792.396
Carboxylic acids and derivatives	403.714
Carboxylic acids and derivatives	211.15
Carboxylic acids and derivatives	770.418
Azolidines	244.959
Carboxylic acids and derivatives	790.457
Azolidines	269.004
Prenol lipids	445.299
Prenol lipids	385.276
Indoles and derivatives	561.126
Prenol lipids	367.266
Carboxylic acids and derivatives	768.475
Indoles and derivatives	667.062
Indoles and derivatives	319.027
Carboxylic acids and derivatives	653.054
Indoles and derivatives	333.041
Indoles and derivatives	281.071
Carboxylic acids and derivatives	319.026
Indoles and derivatives	333.041
Carboxylic acids and derivatives	333.042
Indoles and derivatives	639.038
Prenol lipids	414.3
Prenol lipids	269.003
Prenol lipids	433.006
Prenol lipids	344.987
Prenol lipids	410.434
Prenol lipids	269.002
Prenol lipids	262.986
Steroids and steroid derivatives	367.193
Carboxylic acids and derivatives	382.18
Phenols	303.268
Benzene and substituted derivatives	347.258
Benzene and substituted derivatives	389.269
Benzene and substituted derivatives	361.274
Benzene and substituted derivatives	361.274
Benzene and substituted derivatives	389.305
Carboxylic acids and derivatives	831.415
Carboxylic acids and derivatives	853.394
Carboxylic acids and derivatives	352.899
Indoles and derivatives	241.116
Indoles and derivatives	495.233
Indoles and derivatives	255.131
Fatty Acyls	221.154
Benzene and substituted derivatives	422.305
Benzene and substituted derivatives	279.159
Benzene and substituted derivatives	279.159
Fatty Acyls	221.154
Benzene and substituted derivatives	422.305
Benzene and substituted derivatives	279.159
Benzene and substituted derivatives	279.159
Benzene and substituted derivatives	347.258
Benzene and substituted derivatives	307.154
Benzene and substituted derivatives	307.19
Benzene and substituted derivatives	413.266
Benzene and substituted derivatives	413.303
Benzene and substituted derivatives	413.266
Benzene and substituted derivatives	331.152
Benzene and substituted derivatives	363.289
Benzene and substituted derivatives	347.162
Benzene and substituted derivatives	359.219
Benzene and substituted derivatives	349.201
Benzene and substituted derivatives	373.198
Benzene and substituted derivatives	351.217
Benzene and substituted derivatives	331.188
Organooxygen compounds	731.47
Indoles and derivatives	262.15
Indoles and derivatives	304.16
Benzene and substituted derivatives	345.167
Benzene and substituted derivatives	361.141
Benzene and substituted derivatives	373.198
Benzene and substituted derivatives	321.17
Coumarins and derivatives	335.05
Steroids and steroid derivatives	509.28
Organooxygen compounds	926.0
Organooxygen compounds	908.5
Tetrapyrroles and derivatives	871.593
Flavonoids	271.24
Flavonoids	287.14
Flavonoids	287.056
Prenol lipids	533.201
Prenol lipids	555.183
Prenol lipids	521.24
Benzene and substituted derivatives	349.092
Benzopyrans	301.072
Fatty Acyls	322.169
Fatty Acyls	344.149
Fatty Acyls	436.197
Fatty Acyls	458.177
Fatty Acyls	321.184
Pyridines and derivatives	335.197
Pyrans	336.183
Naphthopyrans	582.324
Naphthopyrans	584.339
Naphthopyrans	584.34
Indoles and derivatives	567.263
Indoles and derivatives	583.255
Indoles and derivatives	521.258
Indoles and derivatives	509.294
Benzopyrans	278.177
Steroids and steroid derivatives	443.316
Carboxylic acids and derivatives	377.32
Phenols	355.12
Quinolines and derivatives	384.145
Carboxylic acids and derivatives	377.096
Organooxygen compounds	454.148
Fatty Acyls	423.273
Anthracenes	301.071
Steroids and steroid derivatives	429.336
Macrolides and analogues	291.125
Macrolides and analogues	313.105
Benzopyrans	251.091
Carboxylic acids and derivatives	624.377
Carboxylic acids and derivatives	610.36
Carboxylic acids and derivatives	632.341
Carboxylic acids and derivatives	610.362
Carboxylic acids and derivatives	632.343
Carboxylic acids and derivatives	507.227
Carboxylic acids and derivatives	529.209
Pyrimidodiazepines	382.157
Benzopyrans	639.174
Prenol lipids	490.317
Prenol lipids	536.36
Prenol lipids	558.339
Peptidomimetics	888.544
